stock_id:ID(Stock),name,:LABEL
300502,新易盛,Stock
002090,金智科技,Stock
300152,科融环境,Stock
603788,宁波高发,Stock
002839,张家港行,Stock
603655,朗博科技,Stock
601668,中国建筑,Stock
601238,广汽集团,Stock
600079,人福医药,Stock
300125,聆达股份,Stock
600583,海油工程,Stock
600429,三元股份,Stock
000520,长航凤凰,Stock
300575,中旗股份,Stock
002008,大族激光,Stock
000035,中国天楹,Stock
300060,苏州恒久,Stock
002458,益生股份,Stock
600096,云天化,Stock
300430,诚益通,Stock
000936,华西股份,Stock
600995,文山电力,Stock
300719,安达维尔,Stock
002771,真视通,Stock
600645,中源协和,Stock
300349,金卡智能,Stock
002321,华英农业,Stock
600215,*ST经开,Stock
603069,海汽集团,Stock
603439,贵州三力,Stock
601111,中国国航,Stock
603086,先达股份,Stock
600700,*ST数码,Stock
000609,中迪投资,Stock
002634,棒杰股份,Stock
600350,山东高速,Stock
603985,恒润股份,Stock
002264,新华都,Stock
600184,光电股份,Stock
300522,世名科技,Stock
300172,中电环保,Stock
300488,恒锋工具,Stock
600887,伊利股份,Stock
002819,东方中科,Stock
603602,纵横通信,Stock
603317,天味食品,Stock
600868,梅雁吉祥,Stock
000961,中南建设,Stock
300467,迅游科技,Stock
000598,兴蓉环境,Stock
000062,深圳华强,Stock
300037,新宙邦,Stock
600491,龙元建设,Stock
601003,柳钢股份,Stock
600242,*ST中昌,Stock
603897,长城科技,Stock
002376,新北洋,Stock
601900,南方传媒,Stock
600612,老凤祥,Stock
002726,龙大肉食,Stock
002233,塔牌集团,Stock
600307,酒钢宏兴,Stock
002663,普邦股份,Stock
002399,海普瑞,Stock
603878,武进不锈,Stock
600757,长江传媒,Stock
000832,*ST龙涤,Stock
000998,隆平高科,Stock
601279,英利汽车,Stock
600891,退市秋林,Stock
600038,中直股份,Stock
300164,通源石油,Stock
600468,百利电气,Stock
300534,陇神戎发,Stock
600192,长城电工,Stock
000561,烽火电子,Stock
600487,亨通光电,Stock
300021,大禹节水,Stock
002049,紫光国微,Stock
300471,厚普股份,Stock
002419,天虹股份,Stock
000977,浪潮信息,Stock
603301,振德医疗,Stock
002730,电光科技,Stock
600604,市北高新,Stock
601916,浙商银行,Stock
002360,同德化工,Stock
900929,锦旅B股,Stock
603881,数据港,Stock
300308,中际旭创,Stock
603028,赛福天,Stock
601015,陕西黑猫,Stock
200986,粤华包B,Stock
601500,通用股份,Stock
600741,华域汽车,Stock
002675,东诚药业,Stock
600311,*ST荣华,Stock
002225,濮耐股份,Stock
300563,神宇股份,Stock
000536,*ST华映,Stock
300099,精准信息,Stock
600595,*ST中孚,Stock
300133,华策影视,Stock
000166,申万宏源,Stock
002858,力盛赛车,Stock
603356,华菱精工,Stock
600983,惠而浦,Stock
600829,人民同泰,Stock
603706,东方环宇,Stock
000920,南方汇通,Stock
300426,唐德影视,Stock
600080,ST金花,Stock
300076,GQY视讯,Stock
000023,深天地A,Stock
603585,苏利股份,Stock
600203,福日电子,Stock
002337,赛象科技,Stock
600653,申华控股,Stock
002767,先锋电子,Stock
002272,川润股份,Stock
603993,洛阳钼业,Stock
600346,恒力石化,Stock
002788,鹭燕医药,Stock
002622,融钰集团,Stock
600716,凤凰股份,Stock
603839,安正时尚,Stock
603090,宏盛股份,Stock
601107,四川成渝,Stock
600852,*ST中川,Stock
600501,航天晨光,Stock
000408,*ST藏格,Stock
002435,长江健康,Stock
600151,航天机电,Stock
000058,深赛格,Stock
002065,东华软件,Stock
002570,贝因美,Stock
300518,盛讯达,Stock
600444,国机通用,Stock
002120,韵达股份,Stock
300148,天舟文化,Stock
603268,松发股份,Stock
002823,凯中精密,Stock
600917,重庆燃气,Stock
603638,艾迪精密,Stock
300261,雅本化学,Stock
002209,达意隆,Stock
300631,久吾高科,Stock
600297,广汇汽车,Stock
002659,凯文教育,Stock
200553,安道麦B,Stock
603511,爱慕股份,Stock
600278,东方创业,Stock
600782,新钢股份,Stock
900905,老凤祥B,Stock
300324,旋极信息,Stock
601890,亚星锚链,Stock
600628,新世界,Stock
000721,西安饮食,Stock
002032,苏泊尔,Stock
600106,重庆路桥,Stock
002462,嘉事堂,Stock
600556,天下秀,Stock
002198,嘉应制药,Stock
600805,悦达投资,Stock
601717,郑煤机,Stock
603680,今创集团,Stock
002177,御银股份,Stock
002527,新时达,Stock
603116,红蜻蜓,Stock
603815,交建股份,Stock
601828,美凯龙,Stock
300666,江丰电子,Stock
000633,合金投资,Stock
000799,酒鬼酒,Stock
600690,海尔智家,Stock
300236,上海新阳,Stock
300723,一品红,Stock
600385,ST金泰,Stock
000776,广发证券,Stock
603950,长源东谷,Stock
900952,锦港B股,Stock
300373,扬杰科技,Stock
300689,澄天伟业,Stock
200011,深物业B,Stock
603053,成都燃气,Stock
603696,安记食品,Stock
600813,ST鞍一工,Stock
600540,新赛股份,Stock
002474,榕基软件,Stock
600110,诺德股份,Stock
002024,苏宁易购,Stock
000019,深粮控股,Stock
300559,佳发教育,Stock
002531,天顺风能,Stock
600405,动力源,Stock
300109,新开源,Stock
002161,远望谷,Stock
600055,万东医疗,Stock
603229,奥翔药业,Stock
603383,顶点软件,Stock
002862,实丰文化,Stock
603679,华体科技,Stock
600956,新天绿能,Stock
002248,华东数控,Stock
300220,金运激光,Stock
600686,金龙汽车,Stock
000625,长安汽车,Stock
002618,丹邦科技,Stock
300670,大烨智能,Stock
200512,闽灿坤B,Stock
603803,瑞斯康达,Stock
603100,川仪股份,Stock
603045,福达合金,Stock
600239,云南城投,Stock
300365,恒华科技,Stock
600669,*ST鞍成,Stock
000760,*ST斯太,Stock
600393,粤泰股份,Stock
300735,光弘科技,Stock
002073,软控股份,Stock
002589,瑞康医药,Stock
002423,中粮资本,Stock
600517,国网英大,Stock
600844,丹化科技,Stock
600901,江苏租赁,Stock
002835,同为股份,Stock
600002,齐鲁石化,Stock
002136,安纳达,Stock
600452,涪陵电力,Stock
002566,益盛药业,Stock
603157,*ST拉夏,Stock
603507,振江股份,Stock
601869,长飞光纤,Stock
000672,上峰水泥,Stock
600281,太化股份,Stock
300627,华测导航,Stock
300277,海联讯,Stock
000737,南风化工,Stock
300298,三诺生物,Stock
300332,天壕环境,Stock
601886,江河集团,Stock
600794,保税科技,Stock
900913,国新B股,Stock
